"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Aug-2021","EQ","1,422.00","1,555.00","1,422.00","1,432.35","1,539.00","1,536.65","1,514.25","1,717.20","171.20",14250256,"21,578,454,907.50",244951
"05-Aug-2021","EQ","1,428.00","1,438.00","1,407.40","1,429.55","1,432.95","1,432.35","1,425.52","1,717.20","171.20",2104359,"2,999,813,985.35",37536
"04-Aug-2021","EQ","1,460.00","1,460.00","1,423.05","1,442.80","1,427.40","1,429.55","1,439.53","1,717.20","171.20",3341801,"4,810,614,860.85",60087
"03-Aug-2021","EQ","1,467.00","1,467.00","1,422.20","1,438.20","1,443.00","1,442.80","1,441.99","1,717.20","171.20",4442122,"6,405,516,076.75",85757
"02-Aug-2021","EQ","1,435.00","1,445.00","1,424.10","1,420.25","1,443.15","1,438.20","1,434.26","1,717.20","171.20",2483790,"3,562,409,959.25",46243
"30-Jul-2021","EQ","1,409.50","1,449.50","1,400.25","1,400.25","1,426.05","1,420.25","1,428.40","1,717.20","163.00",4403219,"6,289,562,831.35",68464
"29-Jul-2021","EQ","1,413.95","1,425.00","1,397.00","1,399.90","1,400.00","1,400.25","1,412.71","1,717.20","163.00",2538248,"3,585,799,238.55",38796
"28-Jul-2021","EQ","1,406.85","1,424.80","1,378.60","1,396.75","1,396.05","1,399.90","1,402.87","1,717.20","163.00",3188606,"4,473,189,818.80",67514
"27-Jul-2021","EQ","1,403.90","1,424.60","1,378.15","1,403.90","1,404.00","1,396.75","1,399.99","1,717.20","163.00",2978042,"4,169,237,082.80",54101
"26-Jul-2021","EQ","1,399.80","1,416.80","1,392.00","1,401.65","1,405.55","1,403.90","1,405.65","1,717.20","163.00",2054318,"2,887,657,613.15",46181
"23-Jul-2021","EQ","1,430.00","1,434.85","1,386.20","1,416.75","1,399.95","1,401.65","1,407.89","1,717.20","152.10",4694140,"6,608,839,557.55",98094
"22-Jul-2021","EQ","1,375.00","1,424.90","1,340.50","1,365.70","1,420.30","1,416.75","1,383.54","1,717.20","152.10",5009804,"6,931,275,794.25",100191
